					
					
Ευρωπαϊκές σπουδές, <L1>διεθνής</L1> πολιτική και διπλωματία	European Studies, International Politics and diplomacy				
Αφαιρούμε το ίζημα με διήθηση ή <N1></N1> πριν από την ανάλυση.	Remove the precipitate by filtration or centrifugation before the analysis.				
FALSE					
					
Το μονοξείδιο του άνθρακος έχει σημαντικές φυσικές ή ανθρωπογενείς πηγές και θεωρείται ότι παίζει σημαντικό άμεσο ρόλο στην τροποσφαιρική <L1>φωτοχημεία</L1> και έμμεσο ρόλο οτη οτρατοσφαιρική φωτοχημεία.	Carbon monoxide has significant natural and anthropogenic sources, and is thought to play a major direct role in tropospheric photochemistry, and an indirect role in stratospheric photochemistry;				
Το μονοξείδιο του άνθρακος έχει σημαντικές φυσικές ή ανθρωπογενείς πηγές και θεωρείται ότι παίζει σημαντικό άμεσο ρόλο στην τροποσφαιρική <N1></N1> και έμμεσο ρόλο οτη οτρατοσφαιρική φωτοχημεία.	Carbon monoxide has significant natural and anthropogenic sources, and is thought to play a major direct role in tropospheric photochemistry, and an indirect role in stratospheric photochemistry;				
FALSE					
					
Η περιοχή αυτή, συμπεριλαμβανομένων και των θέσεων των μικροφώνων, συνίσταται σε μια επιφάνεια από <L1>μπετόν</L1> ή μη πορώδη άσφαλτο.	This site, up to and including the vertical projection of the microphone positions, shall be of concrete or nonporous asphalt.	μπετόν σκυρόδεμα			
Η περιοχή αυτή, συμπεριλαμβανομένων και των θέσεων των μικροφώνων, συνίσταται σε μια επιφάνεια από <N1></N1> ή μη πορώδη άσφαλτο.	This site, up to and including the vertical projection of the microphone positions, shall be of concrete or nonporous asphalt.				
FALSE					
					
Χέρια: να δοθεί ιδιαίτερη προσοχή στην παλάμη, στα νύχια και στα διαστήματα μεταξύ των δακτύλων, και να χρησιμοποιηθεί μαλακό σαπούνι και μαλακή <L1>βούρτσα</L1> για τρίψιμο χωρίς όμως να γδαρθεί το δέρμα.	Hands - pay particular attention to the palm, fingernails, and between fingers, and use mild soap and a soft scrubbing brush but do not abrade the skin.				
Χέρια: να δοθεί ιδιαίτερη προσοχή στην παλάμη, στα νύχια και στα διαστήματα μεταξύ των δακτύλων, και να χρησιμοποιηθεί μαλακό σαπούνι και μαλακή <N1></N1> για τρίψιμο χωρίς όμως να γδαρθεί το δέρμα.	Hands - pay particular attention to the palm, fingernails, and between fingers, and use mild soap and a soft scrubbing brush but do not abrade the skin.				
FALSE					
					
Για ορισμένα είδη αποβλήτων όπως, για παράδειγμα, τα χαρτιά και τα πλαστικά, μία μικρή <L1>πρέσα</L1> δεματισμού θα αποτελούσε χρήσιμη λύση.	For some waste types such as paper and plastics a small baling press may be advantage ous.				
Για ορισμένα είδη αποβλήτων όπως, για παράδειγμα, τα χαρτιά και τα πλαστικά, μία μικρή <N1></N1> δεματισμού θα αποτελούσε χρήσιμη λύση.	For some waste types such as paper and plastics a small baling press may be advantage ous.				
FALSE					
					
Καθώς τα απόβλητα μεταφέρονται κατευθείαν <L1>σοι</L1> συλλέκτες συμπίεσης, η μεταφορά τους δεν είναι απαραίτητη.	As the waste is delivered directly to the compacting containers, no transfer will be necessary.	γένος γενιά καταγωγή σόι			
Καθώς τα απόβλητα μεταφέρονται κατευθείαν <N1></N1> συλλέκτες συμπίεσης, η μεταφορά τους δεν είναι απαραίτητη.	As the waste is delivered directly to the compacting containers, no transfer will be necessary.				
FALSE					
					
Το πρόγραμμα <L1>τηλεπληροφορική</L1> ικανοποιεί τους στόχους που έχουν τεθεί για τη συμμετοχή των ΜΜΕ/ΜΜΟ.	The Telematics Programme currently satisfies the objectives defined for SME/SMO involvement.				
Το πρόγραμμα <N1></N1> ικανοποιεί τους στόχους που έχουν τεθεί για τη συμμετοχή των ΜΜΕ/ΜΜΟ.	The Telematics Programme currently satisfies the objectives defined for SME/SMO involvement.				
FALSE					
					
Από την άλλη πλευρά, σε άλλους τόπους, οι αγορές αποτελούν τουριστική <L1>ατραξιόν</L1> στον ίδιο βαθμό που την αποτελούν τα μουσεία, ο αγροτικός τουρισμός, οι παραλίες ή τα φεστιβάλ και συχνά λειτουργούν συμπληρωματικά με αυτά.	On the other hand, in certain other locations, shopping is as much of a tourist attraction as museums, rural tourism, beaches or festivals and is often complementary to them.	ατραξιόν πόλος έλξεως			
Από την άλλη πλευρά, σε άλλους τόπους, οι αγορές αποτελούν τουριστική <N1></N1> στον ίδιο βαθμό που την αποτελούν τα μουσεία, ο αγροτικός τουρισμός, οι παραλίες ή τα φεστιβάλ και συχνά λειτουργούν συμπληρωματικά με αυτά.	On the other hand, in certain other locations, shopping is as much of a tourist attraction as museums, rural tourism, beaches or festivals and is often complementary to them.				
FALSE					
					
- Συσκευή οξυακετυλίνης - εγκεκριμένο σύστημα αντεπιστροφής; - αριθμός έγκρισης; - μειωτής: αριθμός έγκρισης; <L1>μανόμετρο</L1> (υψηλή πίεση); - φυσητήρες (σαφή χαρακτηριστικά); ο ο ο ο ο	Oxy-acetylene equipment: - type-approved flame trap? - type-approval number? - pressure regulator: type approval number? manometer (high pressure)? - blowpipes (clear identification)?				
- Συσκευή οξυακετυλίνης - εγκεκριμένο σύστημα αντεπιστροφής; - αριθμός έγκρισης; - μειωτής: αριθμός έγκρισης; <N1></N1> (υψηλή πίεση); - φυσητήρες (σαφή χαρακτηριστικά); ο ο ο ο ο	Oxy-acetylene equipment: - type-approved flame trap? - type-approval number? - pressure regulator: type approval number? manometer (high pressure)? - blowpipes (clear identification)?				
FALSE					
					
Στον ξενοδοχειακό τομέα, η αναγνώριση και η χρήση ποικίλλει σε ευρύ φάσμα επιχειρήσεων, από τον ιδιοκτήτη μιας μικρής <L1>πανσιόν</L1> που πιστεύει πως τα. δωμάτια του έχουν εγγενή αξία (που συνήθιος βασίζεται στο κόστος; μέχρι τις μεγάλες διεθνείς αλυσίδες ξενοδοχείων που χρησιμοποιούν τελευταίου τύπου τεχνολογία αποδοτικής διαχείρισης.	In such areas as ski lifts, golf courses, theatres, museums, tourist attractions and amusement parks, the potential to use yield management exists, but has not been extensively exploited.				
Στον ξενοδοχειακό τομέα, η αναγνώριση και η χρήση ποικίλλει σε ευρύ φάσμα επιχειρήσεων, από τον ιδιοκτήτη μιας μικρής <N1></N1> που πιστεύει πως τα. δωμάτια του έχουν εγγενή αξία (που συνήθιος βασίζεται στο κόστος; μέχρι τις μεγάλες διεθνείς αλυσίδες ξενοδοχείων που χρησιμοποιούν τελευταίου τύπου τεχνολογία αποδοτικής διαχείρισης.	In such areas as ski lifts, golf courses, theatres, museums, tourist attractions and amusement parks, the potential to use yield management exists, but has not been extensively exploited.				
FALSE					
					
Το <L1>τονάζ</L1> παρέμεινε ίδιο, με αντίτιμο την αύξηση της αλιευτικής προσπάθειας κυρίως.	The most important point to note is that the volume has been maintained at the cost of a considerable increase in the fishing effort.				
Το <N1></N1> παρέμεινε ίδιο, με αντίτιμο την αύξηση της αλιευτικής προσπάθειας κυρίως.	The most important point to note is that the volume has been maintained at the cost of a considerable increase in the fishing effort.				
FALSE					
					
Μια γαλήνια θάλασσα με φόντο το μπλε του ωκεανού κι ένα ανεμολόγιο για προστασία και καλή τύχτρ. το <L1>ντεκόρ</L1> στήθηκε και το καινούργιο εικονικό σκάφος της ΓΔ Αλιείας πλέει στην πρώτη κιόλας σελίδα υποδοχής.	A peaceful sea against an ocean­blue background, a compass rose to ensure a good journey: the scene is set and the new virtual vessel of the Fisheries DG sets sail from the very first page. Once out at sea on the site, five sections are offered to visitors, directing them towards the different sources of information, like desert islands waiting to be discovered.				
Μια γαλήνια θάλασσα με φόντο το μπλε του ωκεανού κι ένα ανεμολόγιο για προστασία και καλή τύχτρ. το <N1></N1> στήθηκε και το καινούργιο εικονικό σκάφος της ΓΔ Αλιείας πλέει στην πρώτη κιόλας σελίδα υποδοχής.	A peaceful sea against an ocean­blue background, a compass rose to ensure a good journey: the scene is set and the new virtual vessel of the Fisheries DG sets sail from the very first page. Once out at sea on the site, five sections are offered to visitors, directing them towards the different sources of information, like desert islands waiting to be discovered.				
FALSE					
					
Πρόληψη, κυρώσεις, συνειδητοποίηση της ευθύνης Ο έλεγχος των αλιευτικών δραστηριοτήτων, λεπτή <L1>αλχημεία</L1> μεταξύ της πρόληψης, των κυρώσεων και της συνειδητοποίησης της ευθύνης, έχει τον εξής τριπλό στόχο:	Subtly combining prevention, penalties and the development of a sense of responsibility, the monitoring of fishing activities aims to:				
Πρόληψη, κυρώσεις, συνειδητοποίηση της ευθύνης Ο έλεγχος των αλιευτικών δραστηριοτήτων, λεπτή <N1></N1> μεταξύ της πρόληψης, των κυρώσεων και της συνειδητοποίησης της ευθύνης, έχει τον εξής τριπλό στόχο:	Subtly combining prevention, penalties and the development of a sense of responsibility, the monitoring of fishing activities aims to:				
FALSE					
					
Μπορώ και ανιχνεύω ευκαιρίες και δυνατότητες για να <L1>λανσάρω</L1> νέα προϊόντα.	In her early days, Graziella Proserpi had to struggle to assert herself:  Men tested me.				
Μπορώ και ανιχνεύω ευκαιρίες και δυνατότητες για να <N1></N1> νέα προϊόντα.	In her early days, Graziella Proserpi had to struggle to assert herself:  Men tested me.				
FALSE					
					
Δεδομένου ότι η <L1>οψιόν</L1> αγοράς μίας από τις θυγατρικές είχε ήδη απαλειφθεί κατά το δεύτερο στάδιο, το Συμβούλιο υποχρέωσε τα μέρη να αναλάβουν τη δέσμευση της λύσης της συγκέντρωσης και της πώλησης των αγορασθεισών μετοχών.	In view of the fact that the stock option in respect of one of the subsidiaries had already been exercised during the second phase, the Council required the parties to undertake to dissolve the merger and sell the shares acquired.				
Δεδομένου ότι η <N1></N1> αγοράς μίας από τις θυγατρικές είχε ήδη απαλειφθεί κατά το δεύτερο στάδιο, το Συμβούλιο υποχρέωσε τα μέρη να αναλάβουν τη δέσμευση της λύσης της συγκέντρωσης και της πώλησης των αγορασθεισών μετοχών.	In view of the fact that the stock option in respect of one of the subsidiaries had already been exercised during the second phase, the Council required the parties to undertake to dissolve the merger and sell the shares acquired.				
FALSE					
					
Φράγματα και <L1>ντεπόζιτο</L1> Διευθετήσεις στις όχθες του ποταμού	Dam and reservoir River training works	δεξαμενή ντεπόζιτο			
Φράγματα και <N1></N1> Διευθετήσεις στις όχθες του ποταμού	Dam and reservoir River training works				
FALSE					
					
Η στεγάνωση του υπεδάφους κάτω από το φράγμα και στα αντερείσματα εξασφαλίζεται με <L1>κουρτίνα</L1> τσιμεντενέσεων, μέγιστου βάθους 70 περίπου μέτρων.	View of the spillway under construction tain to a maximum depth of approximately 70 m is pro­vided under the dam and the abutments.				
Η στεγάνωση του υπεδάφους κάτω από το φράγμα και στα αντερείσματα εξασφαλίζεται με <N1></N1> τσιμεντενέσεων, μέγιστου βάθους 70 περίπου μέτρων.	View of the spillway under construction tain to a maximum depth of approximately 70 m is pro­vided under the dam and the abutments.				
FALSE					
					
Θα ανακαλύψει ότι ο ρομαντισμός ή ο <L1>σουρεαλισμός</L1> πέρασαν από ολόκληρη την Ευρώπη χωρίς οι γλώσσες, τα σύνορα ή ακόμη και το τείχος του Βερολίνου να ανακόψουν την ανάπτυξη τους.	Romanticism and surrealism spread throughout Europe, their development unchecked by languages, borders or even the Berlin Wall.				
Θα ανακαλύψει ότι ο ρομαντισμός ή ο <N1></N1> πέρασαν από ολόκληρη την Ευρώπη χωρίς οι γλώσσες, τα σύνορα ή ακόμη και το τείχος του Βερολίνου να ανακόψουν την ανάπτυξη τους.	Romanticism and surrealism spread throughout Europe, their development unchecked by languages, borders or even the Berlin Wall.				
FALSE					
					
Επιπλέον, σε ευρωπαϊκό επίπεδο, οι οργανώσεις αυτές συνδέονται με οργανώσεις <L1>ομπρέλα</L1> που τις εκπροσωπούν: -τηνΥνιον Ιντερνατιοναλε πουρ λα Νατσιγατιον Φλυτσιαλε (Υ.Ι.Ν.Φ.), για τους πλοιοκτήτες,	The frequency of movement is determined by the number of locations that will be visited during a tour, as well as the number of performances that will be given in a particular location.	ομπρέλα προστατευτική ομπρέλα			
Επιπλέον, σε ευρωπαϊκό επίπεδο, οι οργανώσεις αυτές συνδέονται με οργανώσεις <N1></N1> που τις εκπροσωπούν: -τηνΥνιον Ιντερνατιοναλε πουρ λα Νατσιγατιον Φλυτσιαλε (Υ.Ι.Ν.Φ.), για τους πλοιοκτήτες,	The frequency of movement is determined by the number of locations that will be visited during a tour, as well as the number of performances that will be given in a particular location.				
FALSE					
					
15.Ειδικευμένος <L1>φωτογράφος</L1> χειριστής μικροφίλμ.	15- Photographer and specialized microfilm operator				
15.Ειδικευμένος <N1></N1> χειριστής μικροφίλμ.	15- Photographer and specialized microfilm operator				
FALSE					
					
γικά και χημικά υλικά προερχόμενα από τη δεύτερη <L1>πολυκλινική</L1> έχουν απορριφθεί στην κοιλάδα αυτή κατά τον χρόνο αποστολής της αιτιολογημένης γνώμης.	At the end of the valley the the biological and chemical materials from polyclinic No 2 had been discharged there at the time the reasoned opinion was sent.				
γικά και χημικά υλικά προερχόμενα από τη δεύτερη <N1></N1> έχουν απορριφθεί στην κοιλάδα αυτή κατά τον χρόνο αποστολής της αιτιολογημένης γνώμης.	At the end of the valley the the biological and chemical materials from polyclinic No 2 had been discharged there at the time the reasoned opinion was sent.				
FALSE					
					
Πρέπει να υπογραμμιστεί ότι οι κατηγορούμενοι είναι Ιταλοί υπήκοοι οι οποίοι, ενώ κατοικούσαν στην Ιταλία, ειδικεύτηκαν στη <L1>βιοθεραπεία</L1> και την πρανοθεραπεία στην Ιταλία και διώχθηκαν βάσει του άρθρου 348 του Ιταλικού ποινικού κώδικα, κατόπιν ενεργειών στις οιιοίες προέβησαν μόνο στο έδαφος του εν λόγω κράτους μέλους.	The Court pointed out that all the accused were Italian nationals residing in Italy who had obtained their biotherapy and pranotherapy qualifications in Italy and were being prosecuted under Article 348 of the Italian Penal Code for administering treatment only on the territory of that Member State.				
Πρέπει να υπογραμμιστεί ότι οι κατηγορούμενοι είναι Ιταλοί υπήκοοι οι οποίοι, ενώ κατοικούσαν στην Ιταλία, ειδικεύτηκαν στη <N1></N1> και την πρανοθεραπεία στην Ιταλία και διώχθηκαν βάσει του άρθρου 348 του Ιταλικού ποινικού κώδικα, κατόπιν ενεργειών στις οιιοίες προέβησαν μόνο στο έδαφος του εν λόγω κράτους μέλους.	The Court pointed out that all the accused were Italian nationals residing in Italy who had obtained their biotherapy and pranotherapy qualifications in Italy and were being prosecuted under Article 348 of the Italian Penal Code for administering treatment only on the territory of that Member State.				
FALSE					
					
Ένας δημοτικός ή κοινοτικός φόρος που επιβάλλεται κατ'έτος σε χορευτικά κέντρα και τα συνδεδεμένα προς αυτά εστιατόρια, βάσει των εισπράξεων από εισιτήρια, μισθώματα και ιματιοφυλάκια, από την πώληση προγραμμάτων ή χορευτικών <L1>καρνέ</L1> και εδεσμάτων και οποιωνδήποτε άλλων εισπράξεων που αναπληρώνουν ή συμπληρώνουν τις προηγούμενες, δεν συνιστά φόρο επί του κύκλου εργασιών κατά την έννοια του άρθρου 33 της οδηγίας 77/388 του Συμβουλίου της 17ης Μαΐου 1977.	A local tax imposed annually on dance halls and restaurants connected therewith in respect of entrance fees, rents and cloakroom charges, proceeds from the sale of programmes or dance cards and refreshments and any other receipts which replace or supplement such charges does not constitute a turnover tax within the meaning of Article 33 of Council Directive 77/388 of 17 May 1977 .				
Ένας δημοτικός ή κοινοτικός φόρος που επιβάλλεται κατ'έτος σε χορευτικά κέντρα και τα συνδεδεμένα προς αυτά εστιατόρια, βάσει των εισπράξεων από εισιτήρια, μισθώματα και ιματιοφυλάκια, από την πώληση προγραμμάτων ή χορευτικών <N1></N1> και εδεσμάτων και οποιωνδήποτε άλλων εισπράξεων που αναπληρώνουν ή συμπληρώνουν τις προηγούμενες, δεν συνιστά φόρο επί του κύκλου εργασιών κατά την έννοια του άρθρου 33 της οδηγίας 77/388 του Συμβουλίου της 17ης Μαΐου 1977.	A local tax imposed annually on dance halls and restaurants connected therewith in respect of entrance fees, rents and cloakroom charges, proceeds from the sale of programmes or dance cards and refreshments and any other receipts which replace or supplement such charges does not constitute a turnover tax within the meaning of Article 33 of Council Directive 77/388 of 17 May 1977 .				
FALSE					
					
α') Η <L1>ηωσίνη</L1> 2 % και η τροποποιημένη αλκοόλη 70 % αποτελούν φάρμακα κατά την έννοια του άρθρου 1, παράγραφος 2, πρώτο εδάφιο, της οδηγίας 65/65/ΕΟΚ του Συμβουλίου, της 26ης Ιανουαρίου 1965, περί της προσεγγίσεως των νομοθετικών, κανονιστικών και διοικητικών διατάξεων σχετικά με τα φαρμακευτικά ιδιοσκευάσματα, όταν φέρονται ότι διαθέτουν θεραπευτικές ή προληπτικές ιδιότητες.	Eos i n of a strength of 2 X and modified alcohol of a strength of 70 X are medicinal products within the meaning of the first subparagraph of Article 1 (2) of Council Directive 65/65/EEC of 26 January 1965 on the approximation of provisions laid down by law, regulation or administrative action relating to propri et ary midi ci nal products when they are presented for treating or preventing disease;				
α') Η <N1></N1> 2 % και η τροποποιημένη αλκοόλη 70 % αποτελούν φάρμακα κατά την έννοια του άρθρου 1, παράγραφος 2, πρώτο εδάφιο, της οδηγίας 65/65/ΕΟΚ του Συμβουλίου, της 26ης Ιανουαρίου 1965, περί της προσεγγίσεως των νομοθετικών, κανονιστικών και διοικητικών διατάξεων σχετικά με τα φαρμακευτικά ιδιοσκευάσματα, όταν φέρονται ότι διαθέτουν θεραπευτικές ή προληπτικές ιδιότητες.	Eos i n of a strength of 2 X and modified alcohol of a strength of 70 X are medicinal products within the meaning of the first subparagraph of Article 1 (2) of Council Directive 65/65/EEC of 26 January 1965 on the approximation of provisions laid down by law, regulation or administrative action relating to propri et ary midi ci nal products when they are presented for treating or preventing disease;				
FALSE					
					
Ρήτρα διαιτησίας - Αποκατάσταση της ζημίας που προκλήθηκε από τη μη εκτέλεση συμβάσεως - Παραγωγή δύο δημοσιεύσεων <L1>αλμανάκ</L1>	Arbitration clause ­ Compensation for damage resulting from the non­performance of a contract ­ Production of two publications of Almanak.				
Ρήτρα διαιτησίας - Αποκατάσταση της ζημίας που προκλήθηκε από τη μη εκτέλεση συμβάσεως - Παραγωγή δύο δημοσιεύσεων <N1></N1>	Arbitration clause ­ Compensation for damage resulting from the non­performance of a contract ­ Production of two publications of Almanak.				
FALSE					
					
Προκαταρκτικά, παρατηρείται ότι, όπως προκύπτει από τη Διάταξη περί παραπομπής, ο προσφεύγων της κύριας δίκης είναι Έλληνας υπήκοος ο οποίος ασκεί στη Γερμανία, ως ελεύθερος επαγγελματίας, το επάγγελμα του <L1>μασέρ</L1> και του βοηθού υδροθεραπευτή.	Thus the Court acknowledged that, with those two questions, the national court sought, essentially, to know whether Article 52 of the Treaty should be interpreted as meaning that it precluded the name of a Greek national who has established himself in another Member State in order to pursue his activity as a selfemployed person being entered in the register of births, marriages and deaths of that State according to a spelling which did not conform to a phonetic transcription of his name and which modified and distorted his name.				
Προκαταρκτικά, παρατηρείται ότι, όπως προκύπτει από τη Διάταξη περί παραπομπής, ο προσφεύγων της κύριας δίκης είναι Έλληνας υπήκοος ο οποίος ασκεί στη Γερμανία, ως ελεύθερος επαγγελματίας, το επάγγελμα του <N1></N1> και του βοηθού υδροθεραπευτή.	Thus the Court acknowledged that, with those two questions, the national court sought, essentially, to know whether Article 52 of the Treaty should be interpreted as meaning that it precluded the name of a Greek national who has established himself in another Member State in order to pursue his activity as a selfemployed person being entered in the register of births, marriages and deaths of that State according to a spelling which did not conform to a phonetic transcription of his name and which modified and distorted his name.				
FALSE					
					
Κατά την Ιταλική Κυβέρνηση, ο κανονισμός αυτός δεν κοινοποιήθηκε στην Επιτροπή ως νομοθέτημα εφαρμογής των οδηγιών 92/35 και 92/40 διότι βρισκόταν ήδη σε εξέλιξη η διαδικασία θεσπίσεως ειδικών μέτρων για την πανώλη των ίππων και τη <L1>γρίπη</L1> των ορνίθων.	By application lodged at the Court on 16 March 1995, the Commission of the European Communities brought an action for a declaration that, by failing to adopt the laws, regulations and administrative provisions necessary to comply with				
Κατά την Ιταλική Κυβέρνηση, ο κανονισμός αυτός δεν κοινοποιήθηκε στην Επιτροπή ως νομοθέτημα εφαρμογής των οδηγιών 92/35 και 92/40 διότι βρισκόταν ήδη σε εξέλιξη η διαδικασία θεσπίσεως ειδικών μέτρων για την πανώλη των ίππων και τη <N1></N1> των ορνίθων.	By application lodged at the Court on 16 March 1995, the Commission of the European Communities brought an action for a declaration that, by failing to adopt the laws, regulations and administrative provisions necessary to comply with				
FALSE					
					
Να χρησιμοποιείται για την ακουστική όχληση που προέρχεται από εντοπισμένη πηγή, όπως από όχημα, μηχάνημα, <L1>ντισκοτέκ</L1> ή αυτοκινητόδρομο.	2447 budget budget appropriation budget authorization budgetary control budgetary discharge carry-over of appropriations commitment of expenditure financial control financial year payment appropriation validation of expenditure budget budget policy impact, environmental — (5206)	ντίσκο ντισκοτέκ			
Να χρησιμοποιείται για την ακουστική όχληση που προέρχεται από εντοπισμένη πηγή, όπως από όχημα, μηχάνημα, <N1></N1> ή αυτοκινητόδρομο.	2447 budget budget appropriation budget authorization budgetary control budgetary discharge carry-over of appropriations commitment of expenditure financial control financial year payment appropriation validation of expenditure budget budget policy impact, environmental — (5206)				
FALSE					
					
6037 αγροδιατροφικός τομέας πουράκι <L1>πούρο</L1> σιγαρέτο αγροδιατροφικός τομέας καπνός	NT2 financial protocol international cooperation MT 087 7 cooperation policy BT1 cooperation policy NT1 European cooperation				
6037 αγροδιατροφικός τομέας πουράκι <N1></N1> σιγαρέτο αγροδιατροφικός τομέας καπνός	NT2 financial protocol international cooperation MT 087 7 cooperation policy BT1 cooperation policy NT1 European cooperation				
FALSE					
					
3227 τεκμηρίατση μικροαντίγραφο μικροφίλμ <L1>μικροφωτογραφία</L1> μικροφωτοδελτίο τεκμήριο	Netherlands OCT new technology network server MT 3236 information technology and data processing BT1 computer network BT2 dataprocessing system network, telecommunications — USE transmission network (3226)				
3227 τεκμηρίατση μικροαντίγραφο μικροφίλμ <N1></N1> μικροφωτοδελτίο τεκμήριο	Netherlands OCT new technology network server MT 3236 information technology and data processing BT1 computer network BT2 dataprocessing system network, telecommunications — USE transmission network (3226)				
FALSE					
					
5676συστήματα αγροτικής εκμετάλλευσης κηπουρική λαχανόκηπος <L1>μποστάνι</L1> σύστημα γεωργικής εκμετάλλευσης	6811 chemistry argon helium krypton neon radon xenon chemical element rate, mortality — USE death rate (2816) rates, payment at piece — USE piece work pay (4421)				
5676συστήματα αγροτικής εκμετάλλευσης κηπουρική λαχανόκηπος <N1></N1> σύστημα γεωργικής εκμετάλλευσης	6811 chemistry argon helium krypton neon radon xenon chemical element rate, mortality — USE death rate (2816) rates, payment at piece — USE piece work pay (4421)				
FALSE					
					
ΝΤ1 κοσμοπολιτισμός ΝΤ1 <L1>μαοϊσμός</L1> ΝΤ1 <L2>μαρξισμός</L2> ΝΤ1 οικολογική θεωρία	RT legitimacy republic two-party system				
ΝΤ1 κοσμοπολιτισμός ΝΤ1 <N1></N1> ΝΤ1 <N2></N2> ΝΤ1 οικολογική θεωρία	RT legitimacy republic two-party system				
FALSE					
					
ΝΤ1 <L1>αθεϊσμός</L1> <L2>βουδισμός</L2> εκκλησία θεολογία θρησκευτική αίρεση θρησκευτικό ίδρυμα ινδουισμός ιουδαϊσμός	RT toy industry (6846) automatic game RT electrical engineering (6826) RT electrical industry (6621) game of chance gaming establishment holiday artificial reproductive techniques (2806) blood transfusion (2841) embryo and foetus (3606) illicit trade (2006)				
ΝΤ1 <N1></N1> <N2></N2> εκκλησία θεολογία θρησκευτική αίρεση θρησκευτικό ίδρυμα ινδουισμός ιουδαϊσμός	RT toy industry (6846) automatic game RT electrical engineering (6826) RT electrical industry (6621) game of chance gaming establishment holiday artificial reproductive techniques (2806) blood transfusion (2841) embryo and foetus (3606) illicit trade (2006)				
FALSE					
					
ΝΤ1 ΝΤ1 ΝΤ1 ΝΤ2 ΝΤ2 ΝΤ2 ΝΤ2 ισλαμισμός κλήρος χριστιανισμός αγγλικανισμός καθολικισμός ορθοδοξία <L1>προτεσταντισμός</L1>	RT RT RT RT RT donation (0811) intemational voluntary worker (0811) non-profit organization (4016) private aid (0811) unpaid work (4406) sports body sports facilities RT sports equipment (6846) tourism				
ΝΤ1 ΝΤ1 ΝΤ1 ΝΤ2 ΝΤ2 ΝΤ2 ΝΤ2 ισλαμισμός κλήρος χριστιανισμός αγγλικανισμός καθολικισμός ορθοδοξία <N1></N1>	RT RT RT RT RT donation (0811) intemational voluntary worker (0811) non-profit organization (4016) private aid (0811) unpaid work (4406) sports body sports facilities RT sports equipment (6846) tourism				
FALSE					
					
ΝΤ2 ΝΤ2 ΝΤ2 ΝΤ2 ΝΤ1 ΝΤ1 ΝΤ1 ΝΤ1 ΝΤ1 ΝΤ1 ιώδιο φθόριο χλώριο άνθρακας ευγενές αέριο μεταλλοειδή οξυγόνο υδρογόνο <L1>φωσφόρος</L1>	RT RT RT RT nuclear law (6606) nuclear physics (3606) nuclear war (0816) nuclear weapon (0821)	φώσφορος			
ΝΤ2 ΝΤ2 ΝΤ2 ΝΤ2 ΝΤ1 ΝΤ1 ΝΤ1 ΝΤ1 ΝΤ1 ΝΤ1 ιώδιο φθόριο χλώριο άνθρακας ευγενές αέριο μεταλλοειδή οξυγόνο υδρογόνο <N1></N1>	RT RT RT RT nuclear law (6606) nuclear physics (3606) nuclear war (0816) nuclear weapon (0821)				
FALSE					
					
99 97 <L1>βολφράμιο</L1> δασμοί αντιντάμπιγκ, δίκαιο του ανταγωνισμού, Κίνα, κοινοτικές εισαγωγές εισαγωγές.	997 1049 audiovisual industry audiovisual communications policy, European audiovisual area, industrial cooperation, programmes industry audiovisual communications policy, programme				
99 97 <N1></N1> δασμοί αντιντάμπιγκ, δίκαιο του ανταγωνισμού, Κίνα, κοινοτικές εισαγωγές εισαγωγές.	997 1049 audiovisual industry audiovisual communications policy, European audiovisual area, industrial cooperation, programmes industry audiovisual communications policy, programme				
FALSE					
					
5211 φυσικό περιβάλλον φυσικό περιβάλλον <L1>βιότοπος</L1> βιομάζα οικολογία με όλες τις σημασιολογικές	BT1 urban transport BT2 organization of transport sugar beet —(6021) subvention USE economic support (1606)				
5211 φυσικό περιβάλλον φυσικό περιβάλλον <N1></N1> βιομάζα οικολογία με όλες τις σημασιολογικές	BT1 urban transport BT2 organization of transport sugar beet —(6021) subvention USE economic support (1606)				
FALSE					
					
Η ΕΤΠ τονίζει ότι ο το νοηματικό περιεχόμενο του όρου <L1>πολυπολιτισμικός</L1> αντιστοιχεί σε μια περιγραφική αντίληψη της πραγματικότητας και αναφέρεται στην απλή διαπίστωση της συνύπαρξης πολλών πολιτισμικών αναφορών στον ίδιο χώρο, ενώ η έννοια του διαπολιτισμικού προϋποθέτει τη δυναμική αλληλεπίδραση μεταξύ των πολιτισμών, λόγω των μεταναστευτικών ρευμάτων, πρόσφατων ή παλαιών.	The COR points out that the term  multi-cultural  is a descriptive understanding of how things stand and involves simply examining the coexistence of various cultural references in a single country, whereas the term  intercultural  connotes the dynamic interaction and cooperative interchange between cultures due to migratory movements, such migration may be recent or may have occurred centuries ago.				
