					
					
关于 应用 空间 技术 预防 <L1>和</L1> 对抗 自然灾害 讲习班 报告	APPLICATIONS OF SPACE TECHNIQUES TO PREVENT AND COMBAT NATURAL DISASTERS, ORGANIZED IN COOPERATION				
第四个 <L1>拉比</L1> : 为什么 永久 ?	Don't they know that the way to dominate the market is to announce delay after delay and increase anticipation?				
第四个 <N1></N1> : 为什么 永久 ?	Don't they know that the way to dominate the market is to announce delay after delay and increase anticipation?				
FALSE					
					
<L1>抽象</L1> 的 哲学 信仰 的 差异 会 影响 人们 的 决定 吗 ?	Effective use of these resources is our national priority.	抽象 提炼 摘录 节略			
<N1></N1> 的 哲学 信仰 的 差异 会 影响 人们 的 决定 吗 ?	Effective use of these resources is our national priority.				
FALSE					
					
一位 穆斯林 说 他 不会 碰 你 旅行车 里 的 <L1>比基尼</L1>	Practicing abstinence for up to 5 days may result in a more  intensive  exit.	比基尼 比基尼泳装			
一位 穆斯林 说 他 不会 碰 你 旅行车 里 的 <N1>泳装</N1>	Practicing abstinence for up to 5 days may result in a more  intensive  exit.				
TRUE					
					
<L1>芬蘭</L1> 如何 為 所有 公民 提供 這種 全面 的 普及教育 ?	However, Adam and Eve did willfully violate God’s commandment for worship.				
<N1></N1> 如何 為 所有 公民 提供 這種 全面 的 普及教育 ?	However, Adam and Eve did willfully violate God’s commandment for worship.				
FALSE					
					
你 将 生活 在 真正 的 <L1>威尼斯</L1> !	Religion is inherently conservative; even one proposing a new God only creates a new order.				
你 将 生活 在 真正 的 <N1></N1> !	Religion is inherently conservative; even one proposing a new God only creates a new order.				
FALSE					
					
家 是 空军 <L1>派</L1> 我们 去 的 地方	We will end extremism very soon.	派 馅饼 | π 圆周率 派			
家 是 空军 <N1></N1> 我们 去 的 地方	We will end extremism very soon.				
FALSE					
					
你 认为 你 和 <L1>史蒂文</L1> 会 有 孩子 吗 ?	What is new, however, is that the digital age provides us with different opportunities for collecting and analyzing data.				
你 认为 你 和 <N1></N1> 会 有 孩子 吗 ?	What is new, however, is that the digital age provides us with different opportunities for collecting and analyzing data.				
FALSE					
					
2 . 持續 使用 <L1>富蘭克林</L1> 的 特殊 能力 7 秒	Immigrants and people of color are the easiest targets for this type of policing,  he continues.				
2 . 持續 使用 <N1></N1> 的 特殊 能力 7 秒	Immigrants and people of color are the easiest targets for this type of policing,  he continues.				
FALSE					
					
我 的 父母 刚才 做 今年夏天 第一次 巡航 , 也 <L1>阿拉斯加</L1> , 也许 公主 吗 ?	To prevent each single death from prostate cancer, they had to invite around 800 men.				
我 的 父母 刚才 做 今年夏天 第一次 巡航 , 也 <N1></N1> , 也许 公主 吗 ?	To prevent each single death from prostate cancer, they had to invite around 800 men.				
FALSE					
					
唯一 <L1>理性</L1> 的 人 是 数学家 和 科学家 ( 其中 很多 是 女性 )	Taking advantage of the ambiguity of international law, Beijing claims most of the sea (almost 85 per cent).				
唯一 <N1></N1> 的 人 是 数学家 和 科学家 ( 其中 很多 是 女性 )	Taking advantage of the ambiguity of international law, Beijing claims most of the sea (almost 85 per cent).				
FALSE					
					
<L1>波蘭</L1>   91   ( 51 )	Half a millennium ago, a wealthy family needed a private army to secure its land and wealth.				
<N1></N1>   91   ( 51 )	Half a millennium ago, a wealthy family needed a private army to secure its land and wealth.				
FALSE					
					
那么 周五 晚上 的 <L1>迪斯科</L1> <L2>保龄球</L2> 和 啤酒 有 什么 不好 呢 ?	Thankfully Mick has a Chinese colleague who translated it for us that night - and everything seemed OK.				
那么 周五 晚上 的 <N1>迪斯科</N1> <N2>保龄球</N2> 和 啤酒 有 什么 不好 呢 ?	Thankfully Mick has a Chinese colleague who translated it for us that night - and everything seemed OK.				
TRUE					
					
未来 , <L1>布朗</L1> 的 先进 技术 将 帮助 人类 实现 低碳 生活 的 梦想 !	They asked to see her father's sword.				
未来 , <N1></N1> 的 先进 技术 将 帮助 人类 实现 低碳 生活 的 梦想 !	They asked to see her father's sword.				
FALSE					
					
第六十九章   大 <L1>朝日</L1> (	When you make quadruple the salary of your partner, even triple, bearing the majority of the financial burden is logical – depending on your partner’s salary.				
第六十九章   大 <N1></N1> (	When you make quadruple the salary of your partner, even triple, bearing the majority of the financial burden is logical – depending on your partner’s salary.				
FALSE					
					
<L1>塔什干</L1> 计划 实施 47 个 投资 项目	But the board said Ford missed internal targets for market share increases and quality improvement.				
<N1></N1> 计划 实施 47 个 投资 项目	But the board said Ford missed internal targets for market share increases and quality improvement.				
FALSE					
					
你 认为 你 会 离开 <L1>丹尼斯</L1> 和 现在 一切 都 回到 正常 吗 ?	kind, whose seed is in itself, upon the earth: and it was so.				
你 认为 你 会 离开 <N1></N1> 和 现在 一切 都 回到 正常 吗 ?	kind, whose seed is in itself, upon the earth: and it was so.				
FALSE					
					
跟 阿根廷 <L1>探戈</L1> 沒什麼關 係 .	This is a black woman who in 1930 decided to say, 'I am my own woman and no one can tell me otherwise.'				
跟 阿根廷 <N1>探戈</N1> 沒什麼關 係 .	This is a black woman who in 1930 decided to say, 'I am my own woman and no one can tell me otherwise.'				
TRUE					
					
神 的 使者 都 要 <L1>拜</L1> 祂	time when Ise (Jesus), son of Maryam (Mary) will descend on the earth, and				
神 的 使者 都 要 <N1></N1> 祂	time when Ise (Jesus), son of Maryam (Mary) will descend on the earth, and				
FALSE					
					
我 可以 读 报纸 , 县 选举 很感兴趣 , 并 讨论 未来 死亡 我 好像 失去 了 <L1>卡片</L1> 的 游戏 吗 ?	This reminds me of a code safety problem we had once, a long time ago...	卡 卡片 纸牌			
我 可以 读 报纸 , 县 选举 很感兴趣 , 并 讨论 未来 死亡 我 好像 失去 了 <N1></N1> 的 游戏 吗 ?	This reminds me of a code safety problem we had once, a long time ago...				
FALSE					
					
自有 岁 寒心 . <L1>林肯</L1> 曾经 提到 过 , 我 主要 关心 的 , 不是 你 是不是 失败 了 , 而是 你 对 失败 是不是 甘心 ,	Starting from yesterday, the whole city started to feel more nervous.				
自有 岁 寒心 . <N1></N1> 曾经 提到 过 , 我 主要 关心 的 , 不是 你 是不是 失败 了 , 而是 你 对 失败 是不是 甘心 ,	Starting from yesterday, the whole city started to feel more nervous.				
FALSE					
					
我 在 <L1>摩托车</L1> 酒吧 遇到 的 这些 家伙 之一 !	“We were open as parents to let them pursue what they wanted to do.				
我 在 <N1>摩托车</N1> 酒吧 遇到 的 这些 家伙 之一 !	“We were open as parents to let them pursue what they wanted to do.				
TRUE					
					
260 年 血腥 <L1>殖民</L1> 历史	For instance, there was the Baldwin case, in Ohio, twenty-two years ago.	建立殖民地 开拓殖民地 殖民 | 安家落户 定居 殖民 | 侨民 定居 殖民 殖民地			
260 年 血腥 <N1></N1> 历史	For instance, there was the Baldwin case, in Ohio, twenty-two years ago.				
FALSE					
					
20 + 你 需要 访问 <L1>休斯敦</L1> 的 理由	In China, you can buy agricultural land, and in 10 years can build housing on it.				
20 + 你 需要 访问 <N1></N1> 的 理由	In China, you can buy agricultural land, and in 10 years can build housing on it.				
FALSE					
					
我們 要 <L1>查爾斯</L1> !	If you created any custom grading schemas, they appear in the list.				
我們 要 <N1></N1> !	If you created any custom grading schemas, they appear in the list.				
FALSE					
					
我 需要 他妈的 乔 <L1>佩里</L1> 什么 ?	O Brother, Where Art Thou? (2000): Watched with Kirk who was in town for the day.				
我 需要 他妈的 乔 <N1></N1> 什么 ?	O Brother, Where Art Thou? (2000): Watched with Kirk who was in town for the day.				
FALSE					
					
我 如何 以 700 美元 的 價格度過 10 天 的 <L1>倫敦</L1> 假期	Forty-six cents of every dollar  Ohio could get for Medicaid expansion  is going to come from China or some other country that doesn’t like us very much.				
我 如何 以 700 美元 的 價格度過 10 天 的 <N1></N1> 假期	Forty-six cents of every dollar  Ohio could get for Medicaid expansion  is going to come from China or some other country that doesn’t like us very much.				
FALSE					
					
他 为什么 把 我 从 伦敦 送到 <L1>伯明翰</L1> ?	If approved, the game would be the first digital therapeutic for this disease.				
他 为什么 把 我 从 伦敦 送到 <N1></N1> ?	If approved, the game would be the first digital therapeutic for this disease.				
FALSE					
					
或 革命 指挥 决定 推迟 了 <L1>埃文斯</L1> 顿 突袭 , 下个月 也许 直到 我们 大 进攻 吗 ?	Malaysia introduced this voluntary standard in 2013 to help producers who could not afford RSPO certification.				
或 革命 指挥 决定 推迟 了 <N1></N1> 顿 突袭 , 下个月 也许 直到 我们 大 进攻 吗 ?	Malaysia introduced this voluntary standard in 2013 to help producers who could not afford RSPO certification.				
FALSE					
					
<L1>嗨</L1> , 丹尼尔 , 你 在 寻找 什么样 的 机会 ?	Many clients of our site dream of changing their breasts and making them more beautiful.				
<N1></N1> , 丹尼尔 , 你 在 寻找 什么样 的 机会 ?	Many clients of our site dream of changing their breasts and making them more beautiful.				
FALSE					
					
假设 我 去 告诉 垫 <L1>阿明</L1> , 我们 会 在 稻田 工作 如果 他会 让 我们 呆 在 这里 吗 ?	It’s doubtful that these and other measures designed to reverse widening inequality will be enacted anytime soon.				
假设 我 去 告诉 垫 <N1></N1> , 我们 会 在 稻田 工作 如果 他会 让 我们 呆 在 这里 吗 ?	It’s doubtful that these and other measures designed to reverse widening inequality will be enacted anytime soon.				
FALSE					
					
美国 犹太人 必须 支持 而 不是 阻碍 <L1>克里</L1> 的 努力	After years of requests from the international community Beijing recognizes this practice as a “global threat”.				
美国 犹太人 必须 支持 而 不是 阻碍 <N1></N1> 的 努力	After years of requests from the international community Beijing recognizes this practice as a “global threat”.				
FALSE					
					
我会 被迫 使用 <L1>古登堡</L1> 吗 ?	You are the only safe place, and yet you are the darkest corner of the room.				
我会 被迫 使用 <N1></N1> 吗 ?	You are the only safe place, and yet you are the darkest corner of the room.				
FALSE					
					
6 .   他 曾 以 <L1>假名</L1> 在 瑞士 受 教育	However,  fake or altered passports are mostly used for illegal entry without further motives like carrying out a terrorist attack , the spokeswoman said.				
6 .   他 曾 以 <N1></N1> 在 瑞士 受 教育	However,  fake or altered passports are mostly used for illegal entry without further motives like carrying out a terrorist attack , the spokeswoman said.				
FALSE					
					
<L1>伯克</L1> 希尔 公司 最新 的 美国银行 购买 及其 为何 如此 重要	Officials also began to cast doubt on whether the U.S. withdrawal would actually take place.				
<N1></N1> 希尔 公司 最新 的 美国银行 购买 及其 为何 如此 重要	Officials also began to cast doubt on whether the U.S. withdrawal would actually take place.				
FALSE					
					
我们 致力于 支持 年轻 的 尼日利亚 企业家   -   <L1>福特</L1>	I do not want a rift with America, but they have to go.				
我们 致力于 支持 年轻 的 尼日利亚 企业家   -   <N1></N1>	I do not want a rift with America, but they have to go.				
FALSE					
					
我們 加快 了 狗 的 <L1>進化</L1>   -   但 還不夠	The government will also draft a maritime law over the next five years to state China’s overall policy and strategy on maritime issues.				
我們 加快 了 狗 的 <N1></N1>   -   但 還不夠	The government will also draft a maritime law over the next five years to state China’s overall policy and strategy on maritime issues.				
FALSE					
					
大衛 ,     以色列 人 的 心 都 歸 向 押 <L1>沙龍</L1> 了 !	“This clearly indicates that health care payment reform is necessary.				
大衛 ,     以色列 人 的 心 都 歸 向 押 <N1></N1> 了 !	“This clearly indicates that health care payment reform is necessary.				
FALSE					
					
我 : 为什么 我会 成为 <L1>忍者</L1> ?	With that in mind, here are some of the worst possible candidates for president in 2020.				
我 : 为什么 我会 成为 <N1></N1> ?	With that in mind, here are some of the worst possible candidates for president in 2020.				
FALSE					
					
<L1>宙斯</L1> 的 力量 与 统治	“Our mainland compatriots are also very curious about Taiwanese people and have in terms of government policies given us many opportunities, so I came.”				
<N1></N1> 的 力量 与 统治	“Our mainland compatriots are also very curious about Taiwanese people and have in terms of government policies given us many opportunities, so I came.”				
FALSE					
					
它 开始 看起来 像 一个 <L1>三重</L1> <L2>麦克风</L2> !	Police records show that SCP-1041-154's body was stolen from its grave on July 15, 2012, and has not been located.	扩音器 话筒 麦克风			
它 开始 看起来 像 一个 <N1>三重</N1> <N2>扬声器，扩音器，话筒</N2> !	Police records show that SCP-1041-154's body was stolen from its grave on July 15, 2012, and has not been located.				
TRUE					
					
他們 都 曾經 歷過 <L1>霸凌</L1>   但 在 神 的 愛中 經歷 恢 復	The International Students Degree Program (ISDP) was found in March 1986.				
他們 都 曾經 歷過 <N1></N1>   但 在 神 的 愛中 經歷 恢 復	The International Students Degree Program (ISDP) was found in March 1986.				
FALSE					
					
它 是 如此 接近 <L1>霍巴特</L1> 機場 !	The last two or three years he never had a break because Brazil played a lot of games.				
它 是 如此 接近 <N1></N1> 機場 !	The last two or three years he never had a break because Brazil played a lot of games.				
FALSE					
					
親愛的 兄弟姐妹 們 ,   我 希望 分享 我謙遜 的 <L1>哲學</L1> ~ ~   這是 奠基 於 愛 之上 的 .	Solving a 75-year-old mystery might provide a new source of farm fertilizer				
親愛的 兄弟姐妹 們 ,   我 希望 分享 我謙遜 的 <N1>理学</N1> ~ ~   這是 奠基 於 愛 之上 的 .	Solving a 75-year-old mystery might provide a new source of farm fertilizer				
TRUE					
					
以及 他们 如何 敢 收取 十 <L1>先令</L1> 的 那些 愚蠢 的 小 钓鱼竿 !	Do you know how far up the mountains it is?”	一先令硬币 先令			
以及 他们 如何 敢 收取 十 <N1></N1> 的 那些 愚蠢 的 小 钓鱼竿 !	Do you know how far up the mountains it is?”				
FALSE					
					
<L1>硅</L1> 的 未来 替代 ?	32 We and the holy Spirit which God has given to those who obey him are witnesses to these things.				
<N1></N1> 的 未来 替代 ?	32 We and the holy Spirit which God has given to those who obey him are witnesses to these things.				
FALSE					
					
剩下 的 资金 将 来自 <L1>洪都拉斯</L1> 政府 和 西班牙 合作 基金	“With these kinds of businesses, you could live and work in Wyoming, but create value globally.”				
剩下 的 资金 将 来自 <N1></N1> 政府 和 西班牙 合作 基金	“With these kinds of businesses, you could live and work in Wyoming, but create value globally.”				
FALSE					
					
你 可以 指望 <L1>查克</L1> , 好 吧 ?	The fourth and final principle that can guide your thinking is Respect for Law and Public Interest.				
你 可以 指望 <N1></N1> , 好 吧 ?	The fourth and final principle that can guide your thinking is Respect for Law and Public Interest.				
FALSE					
					
不管 你 觉得 喜欢 或 不 喜欢 , 你 应该 还是 同样 地 修行 : 这 就是 <L1>佛陀</L1> 的 教导 !	Putting “doing nothing” into practice is the one thing the farmer should strive to accomplish.				
不管 你 觉得 喜欢 或 不 喜欢 , 你 应该 还是 同样 地 修行 : 这 就是 <N1></N1> 的 教导 !	Putting “doing nothing” into practice is the one thing the farmer should strive to accomplish.				
FALSE					
					
我 完全 在 船上 朱利安 <L1>桑切斯</L1> 的 观察 :	“Microsoft will have to demonstrate its willingness to put the interests of developers ahead of any Microsoft-specific agenda.”				
我 完全 在 船上 朱利安 <N1></N1> 的 观察 :	“Microsoft will have to demonstrate its willingness to put the interests of developers ahead of any Microsoft-specific agenda.”				
FALSE					
					
<L1>詹金斯</L1> 平衡 他 的 收入 如何 ?	Promote the “Important” Error and Boundary tests to High Priority.				
<N1></N1> 平衡 他 的 收入 如何 ?	Promote the “Important” Error and Boundary tests to High Priority.				
FALSE					
					
吃掉 一至 四块 <L1>朱古力</L1> 但别 吃 了 最后 的	She is the sixth New York House Democrat to publicly oppose the deal.	巧克力 朱古力			
吃掉 一至 四块 <N1>巧克力</N1> 但别 吃 了 最后 的	She is the sixth New York House Democrat to publicly oppose the deal.				
TRUE					
					
<L1>尼克松</L1> 总统 声称 这 侵犯 了 总统 的 权力 ,	A Facebook post from the town said: 'One of the worst-affected municipalities, numerous collapses, all the people currently in the street (about 300 people).				
<N1></N1> 总统 声称 这 侵犯 了 总统 的 权力 ,	A Facebook post from the town said: 'One of the worst-affected municipalities, numerous collapses, all the people currently in the street (about 300 people).				
FALSE					
					
你 听到 她 提供 照顾 我 的 夜晚 , 让 <L1>妈咪</L1> 睡 !	A Few Cubic Meters of Love				
你 听到 她 提供 照顾 我 的 夜晚 , 让 <N1></N1> 睡 !	A Few Cubic Meters of Love				
FALSE					
					
前言   最佳 銷售 <L1>經驗</L1> --- 希望 你永遠 不會 有	Before dealing with the problem of disarmament, I should like to take this opportunity once again of reminding you of some of my proposals of a general nature.				
前言   最佳 銷售 <N1></N1> --- 希望 你永遠 不會 有	Before dealing with the problem of disarmament, I should like to take this opportunity once again of reminding you of some of my proposals of a general nature.				
FALSE					
					
今天 我们 揭示 了 <L1>海伍德</L1> 最 危险 的 道路	In 2003, QQ entered a new field and was “forced” to become a content provider.				
今天 我们 揭示 了 <N1></N1> 最 危险 的 道路	In 2003, QQ entered a new field and was “forced” to become a content provider.				
FALSE					
					
我 的 意思 是 , 他妈的 人 已 <L1>基思</L1> 理查兹 杀 多少 ?	Death doesn’t scare me, but leaving Christians who need me does.				
我 的 意思 是 , 他妈的 人 已 <N1></N1> 理查兹 杀 多少 ?	Death doesn’t scare me, but leaving Christians who need me does.				
FALSE					
					
那么 這 是否 意味著 駕照 的 終結 和 道路 <L1>規則</L1> 的 改變 ?	I wanted PTSD gone from my life.				
那么 這 是否 意味著 駕照 的 終結 和 道路 <N1></N1> 的 改變 ?	I wanted PTSD gone from my life.				
FALSE					
					
地图 和 所有 7 个 <L1>大洲</L1> 的 细节	But how and when is a mystery.				
地图 和 所有 7 个 <N1></N1> 的 细节	But how and when is a mystery.				
FALSE					
					
社交 媒体 上 的 一些 人 说 他们 无法 在 寒冷 中 打开 <L1>特斯拉</L1> 汽车	The U.S. Army also discovered what a lot of large corporations already know; the current generation of young officers is quite different than previous ones.				
社交 媒体 上 的 一些 人 说 他们 无法 在 寒冷 中 打开 <N1></N1> 汽车	The U.S. Army also discovered what a lot of large corporations already know; the current generation of young officers is quite different than previous ones.				
FALSE					
					
手机 <L1>黑客</L1> 是 如何 工作 和 如何 确保 你 不是 一个 受害者	Reinvesting in a productive economy				
手机 <N1>黑客</N1> 是 如何 工作 和 如何 确保 你 不是 一个 受害者	Reinvesting in a productive economy				
TRUE					
					
以下 是 大 曼彻斯特 的 所有 皇家 婚礼 街头 <L1>派对</L1>	We had an extremely cold winter with all of the country frozen including the Amsterdam canals which almost never happens.				
以下 是 大 曼彻斯特 的 所有 皇家 婚礼 街头 <N1>聚会</N1>	We had an extremely cold winter with all of the country frozen including the Amsterdam canals which almost never happens.				
TRUE					
					
神 之 <L1>雫</L1> 名作 超低 價 !	The dive has never been executed by a woman at the Olympics, but Wilkinson plans on completing it perfectly in Beijing.				
神 之 <N1></N1> 名作 超低 價 !	The dive has never been executed by a woman at the Olympics, but Wilkinson plans on completing it perfectly in Beijing.				
FALSE					
					
为 未来 建设 <L1>巴巴多斯</L1>	The argument over a war that took place in the 18th Century began in a modern way: with a tweet.				
为 未来 建设 <N1></N1>	The argument over a war that took place in the 18th Century began in a modern way: with a tweet.				
FALSE					
					
我们 希望 你 能 加入 我们 在 11 月 22 日 我们 欢迎   迪 <L1>安娜</L1> 年轻 !	However, the rate of one type of error —prescribing the wrong drug — did not decrease, and in five studies, the number of adverse events from drug errors did not decrease.				
我们 希望 你 能 加入 我们 在 11 月 22 日 我们 欢迎   迪 <N1></N1> 年轻 !	However, the rate of one type of error —prescribing the wrong drug — did not decrease, and in five studies, the number of adverse events from drug errors did not decrease.				
FALSE					
					
什麼 是 <L1>奧丁</L1>   &   如何 使用 正確 的 奧丁 ?	SWAI is an organisation that works with sex workers for better access to rights, health and justice in Ireland.				
什麼 是 <N1></N1>   &   如何 使用 正確 的 奧丁 ?	SWAI is an organisation that works with sex workers for better access to rights, health and justice in Ireland.				
FALSE					
					
如果 只有 <L1>布拉德利</L1> 的 手臂 更长	In the new constitutional process, the military is trying to ensure autonomy for its institutions.				
如果 只有 <N1></N1> 的 手臂 更长	In the new constitutional process, the military is trying to ensure autonomy for its institutions.				
FALSE					
					
更 多   对 <L1>咖喱</L1> 的 医生 受 教育 程度 的 信息 .	The group is very strict about harassment as they want to make it a space that is open to all gamers.				
更 多   对 <N1>咖喱</N1> 的 医生 受 教育 程度 的 信息 .	The group is very strict about harassment as they want to make it a space that is open to all gamers.				
TRUE					
					
受 威胁 的 物种 在 <L1>堪培拉</L1> 赢得 了 声音   -   但 对 某些 人 来说 已经 太晚 了	As Klebert explains: “Those who fail to establish a significant market share in China are jeopardizing their company’s future existence.				
受 威胁 的 物种 在 <N1></N1> 赢得 了 声音   -   但 对 某些 人 来说 已经 太晚 了	As Klebert explains: “Those who fail to establish a significant market share in China are jeopardizing their company’s future existence.				
FALSE					
					
为什么 <L1>高尔夫</L1> 可以 改善 您 的 健康	So if someone has wronged you, tell yourself this: “I did not deserve God’s forgiveness, but He forgave me through Christ.				
为什么 <N1>高尔夫</N1> 可以 改善 您 的 健康	So if someone has wronged you, tell yourself this: “I did not deserve God’s forgiveness, but He forgave me through Christ.				
TRUE					
					
希望 我们 不必 以 这种 方式 谈论 米莉 和 <L1>雅各布</L1> ...... 至少 在 很长 一段时间 内	She will hold a minute’s silence by the Death Wall where thousands of prisoners were shot dead.				
希望 我们 不必 以 这种 方式 谈论 米莉 和 <N1></N1> ...... 至少 在 很长 一段时间 内	She will hold a minute’s silence by the Death Wall where thousands of prisoners were shot dead.				
FALSE					
					
申请 <L1>申根</L1> 地区 的 错误 大使馆 ( 无法 确定 你 在 申根 地区 的 主要 目的地 )	I think he’s causing a bit of panic in the garage at the moment.				
申请 <N1>申根</N1> 地区 的 错误 大使馆 ( 无法 确定 你 在 申根 地区 的 主要 目的地 )	I think he’s causing a bit of panic in the garage at the moment.				
TRUE					
					
电动汽车 能 让 中国 成为 本世纪 的 <L1>底特律</L1> 吗 ?	Jesus is God’s covenant to us – His promise, if you will.				
电动汽车 能 让 中国 成为 本世纪 的 <N1></N1> 吗 ?	Jesus is God’s covenant to us – His promise, if you will.				
FALSE					
					
<L1>丁克</L1> 夫妻 从未 举行 了 人质 , 他们 吗 ?	At its worst, it oversimplifies important topics and pushes us towards extremes.				
<N1>无子女的</N1> 夫妻 从未 举行 了 人质 , 他们 吗 ?	At its worst, it oversimplifies important topics and pushes us towards extremes.				
TRUE					
					
现在 我们 看到 你 的 切割 与 <L1>芬太尼</L1> 海洛因 , 为什么 ?	Our aim is not just to provide an education in maritime archaeology, but to prepare you for a career in this field.				
现在 我们 看到 你 的 切割 与 <N1>芬太尼</N1> 海洛因 , 为什么 ?	Our aim is not just to provide an education in maritime archaeology, but to prepare you for a career in this field.				
TRUE					
					
它 将 <L1>朗姆酒</L1> 彼得 和 其他 如果 他们 看见 我 挥舞 着 窗外 , 当 火车 在 我们 无处 可寻 !	The tomb was too small, and they tried to force it in.				
它 将 <N1>朗姆酒</N1> 彼得 和 其他 如果 他们 看见 我 挥舞 着 窗外 , 当 火车 在 我们 无处 可寻 !	The tomb was too small, and they tried to force it in.				
TRUE					
					
说 <L1>巴拉克</L1> 奥巴马 总统 正在 攻击 的 石油工业 补贴 不 存在	Then, once you have them all written down, group them into categories.				
说 <N1></N1> 奥巴马 总统 正在 攻击 的 石油工业 补贴 不 存在	Then, once you have them all written down, group them into categories.				
FALSE					
					
若 梦见 自己 受 恶魔 <L1>攻</L1>	‘Of course, this percentage increase still seems large.				
若 梦见 自己 受 恶魔 <N1></N1>	‘Of course, this percentage increase still seems large.				
FALSE					
					
地球 上 最小 的 <L1>秀</L1> ( 1957 )	While it will protect and remove a majority of threats, it isn’t guaranteed to provide complete protection.	演出 秀 表演			
地球 上 最小 的 <N1></N1> ( 1957 )	While it will protect and remove a majority of threats, it isn’t guaranteed to provide complete protection.				
FALSE					
					
见到 我们 知道 的 伟大 的 <L1>阿喀琉斯</L1>	In the case of China, both Trump and Lighthizer himself appear to want something much more comprehensive.	阿喀琉斯 阿基里斯			
见到 我们 知道 的 伟大 的 <N1></N1>	In the case of China, both Trump and Lighthizer himself appear to want something much more comprehensive.				
FALSE					
					
为什么 <L1>梅利莎</L1> 麦卡锡 的 快乐 时间 谋杀案 在 本 周末 的 票房 遭到 轰炸	The Unfinished Queer Agenda After Marriage Equality.	梅利莎 蜜蜂花属			
为什么 <N1></N1> 麦卡锡 的 快乐 时间 谋杀案 在 本 周末 的 票房 遭到 轰炸	The Unfinished Queer Agenda After Marriage Equality.				
FALSE					
					
<L1>克里斯</L1> , 我 觉得 这个 论坛 有 很多 钱 漂浮 ( 关于 这里 的 成员 有 可 支配 收入 )	8.3 If we process sensitive personal information or criminal records information, we will keep written records of:				
<N1></N1> , 我 觉得 这个 论坛 有 很多 钱 漂浮 ( 关于 这里 的 成员 有 可 支配 收入 )	8.3 If we process sensitive personal information or criminal records information, we will keep written records of:				
FALSE					
					
前 总统 <L1>卡特</L1> 谈 美国 能源安全 和 政策 现在 和 过去	Persson: Swedbank to stay in Estonia and continue growing				
前 总统 <N1></N1> 谈 美国 能源安全 和 政策 现在 和 过去	Persson: Swedbank to stay in Estonia and continue growing				
FALSE					
					
你 认为 现在 在 吗 他 做 <L1>帕</L1> 内尔 是 一个 适合 的 人 带领 我们 吗 ?	The good news is that, when creative capitalism when running on its own law, the problem will become the door to opportunities.				
你 认为 现在 在 吗 他 做 <N1></N1> 内尔 是 一个 适合 的 人 带领 我们 吗 ?	The good news is that, when creative capitalism when running on its own law, the problem will become the door to opportunities.				
FALSE					
					
艺术家 在 废弃 喷泉 里 留下 100000 <L1>便士</L1> 看 人们 如何 反应	I could point out that there were no third party games, and discuss all of the implications that carries.				
艺术家 在 废弃 喷泉 里 留下 100000 <N1></N1> 看 人们 如何 反应	I could point out that there were no third party games, and discuss all of the implications that carries.				
FALSE					
					
波兰 总统 克瓦希涅夫斯基 也 喜欢 <L1>伏特加</L1>	Fortunately, Twitch was able to amicably end the relationship and build their own sales team.				
波兰 总统 克瓦希涅夫斯基 也 喜欢 <N1>伏特加</N1>	Fortunately, Twitch was able to amicably end the relationship and build their own sales team.				
TRUE					
					
2019 年 3 月 18 日   -   橙子 和 <L1>柠檬</L1>	“Believe in Love” doesn’t provide the illusion of help.				
2019 年 3 月 18 日   -   橙子 和 <N1></N1>	“Believe in Love” doesn’t provide the illusion of help.				
FALSE					
					
享受 传统 的 <L1>里斯本</L1> 夜晚	The rain forest is God’s gift to mankind.				
享受 传统 的 <N1></N1> 夜晚	The rain forest is God’s gift to mankind.				
FALSE					
					
阿塞拜疆 <L1>柔道</L1> 联合会 报告 年度 活动	On the other end is the women who isn’t good with money, doesn’t have any real goals or plans for her future, she just wants to have fun.				
阿塞拜疆 <N1>柔道</N1> 联合会 报告 年度 活动	On the other end is the women who isn’t good with money, doesn’t have any real goals or plans for her future, she just wants to have fun.				
TRUE					
					
在 一项 行动 ,   这 绝对 不是 像 一个 毒贩 告诉 你 冷静下来 一点点 的 <L1>粉</L1> ,   社会 媒体 巨头 将 很快 推出 三新 功能 :	They must also understand the huge financial gamble they're making with you.	粉 粉末 细粉			
在 一项 行动 ,   这 绝对 不是 像 一个 毒贩 告诉 你 冷静下来 一点点 的 <N1></N1> ,   社会 媒体 巨头 将 很快 推出 三新 功能 :	They must also understand the huge financial gamble they're making with you.				
FALSE					
					
你 可以 看到 更 多 的 信息 <L1>布里斯班</L1> 气候   这里 ,   看到 现在 天气   这里 .	The law stipulates that all nationals must be Muslims and restricts any freedom of religion.				
你 可以 看到 更 多 的 信息 <N1></N1> 气候   这里 ,   看到 现在 天气   这里 .	The law stipulates that all nationals must be Muslims and restricts any freedom of religion.				
FALSE					
					
<L1>波音</L1> 在 第二季度 提供 更少 的 飞机	The database can only be expanded and previous records can not be changed.				
<N1></N1> 在 第二季度 提供 更少 的 飞机	The database can only be expanded and previous records can not be changed.				
FALSE					
					
<L1>埃里克</L1> 和 艾比 只是 朋友 ?	They think that their  number  is too small.				
<N1></N1> 和 艾比 只是 朋友 ?	They think that their  number  is too small.				
FALSE					
					
-   1996 : 在 <L1>魁北克</L1> 中心 地区 购买 800 英亩 的 土地	We think he’s on safe ground using the 39.7 weeks figure, so we rate his statement True.				
